##, Working with People, Current, Target
1, Applications follow a clear promotion path (e.g., Dev -> QA -> Staging -> Production), 2, 3
1, Application deployment automation manages the sequence of deployments (e.g.: Database schema first, then app servers), 3, 3
1, CI jobs automatically update, pin, and test runtime dependencies of applications, 2, 3
1, Application deployment automation performs parallel, rolling, and/or canary deployments, 3, 3
1, Deployments are run during the business day without causing negative user experiences, 0, 1
, , 12, 16
, , , 
##, Continuous Delivery, , 
, , , 
1, All validation and deployments are executed in a pipeline that goes from source control all the way to production, 3, 3
1, Small batches of work flow through the pipeline, 1, 2
1, Changes are released weekly, if not more frequently, 1, 2
1, Changes that pass validation are automatically released to production, 0, 0
, , 5, 7
, , , 
##, Virtualizaton as a Service, , 
, , , 
1, All servers are provisioned via APIs, 0, 1
1, The API is a generally accepted API such as EC2, Azure, OpenStack, vSphere, Docker, 0, 1
1, Access restrictions allow authorized users (e.g., developers and operations) to provision resources, and deny unauthorized users, 0, 1
1, Resources are provisioned in a friction-free manner, 0, 1
1, System images are built via an automated process, 1, 1
1, System images are built from scratch or from a well known, trusted origin, 3, 3
1, System images are built in a pipeline, 0, 1
1, System images are frequently updated, 1, 1
, , 5, 10
, , , 
##, Full-Stack Automation, , 
, , , 
1, Storage resources are provisioned by code, 0, 0
1, Networking resources are provisioned by code, 1, 1
1, Identity services are managed by code, 2, 2
1, DNS is configured by code, 2, 2
1, Messaging queues are provisioned by code, 2, 2
1, Security validation is performed by code, 1, 1
1, Performance validation is performed by code, 0, 0
1, The entire application is test provisioned and deployed in an alternate datacenter, 0, 1
, , 8, 9
, , , 
##, Compliance Automation, , 
, , , 
1, Compliance policies are expressed in code, 0, 1
1, Compliance is checked automatically, 0, 1
1, Compliance automation removes non-compliant nodes from production upon detection, 0, 1
1, Nodes are destroyed beyond a certain age (e.g. 30 days), 1, 1
, , 1, 4
, , , 
##, Sustaining Operations Culture, , 
, , , 
1, Automated services stress the production system (e.g. Chaos Monkey), 0, 0
1, Prodution alerts first notify those who wrote the code, 0, 1
1, Operations, Security, Network, Automation, Testing, and Compliance experts provide developer-friendly tools and coaching to enable development teams, 0, 1
, , 0, 2
